pre_release,version,downloads_count
6.1,5.2.4,16997
6.1,5.2.3,9146
6.1,5.2.2,3046
6.1,5.2.1,4612
6.1,5.2,3703
6.1,5.1rc1,17
6.1,5.1.3,2077
6.1,5.1.2,293
6.1,5.1.1,1899
6.1,5.1,588
6.1,5.0rc1,17
6.1,5.0.5,2072
6.1,5.0.4,78
6.1,5.0.3,63
6.1,5.0.2,1368
6.1,5.0.1,491
6.1,5.0,1003
6.1,4.2rc1,17
6.1,4.2.4,2141
6.1,4.2.3,370
6.1,4.2.2,492
6.1,4.2.1,199
6.1,4.2,810
6.1,4.1rc1,16
6.1,4.1.9,1192
6.1,4.1.8,51
6.1,4.1.7,49
6.1,4.1.6,295
6.1,4.1.5,242
6.1,4.1.4,89
6.1,4.1.3,70
